episodes,Michael,Dwight,Jim,Pam,Andy,Angela,Kevin,Erin,Oscar,Ryan,Darryl,Phyllis,Jan,Toby,Kelly,Stanley,Meredith,Holly,David,Nellie
81,0.2866666667,0.1033333333,0.1166666667,0.1066666667,0,0.01333333333,0.05,0,0.04666666667,0,0,0.03666666667,0,0,0.03,0.006666666667,0.01,0,0,0
82,0.3633440514,0.2282958199,0.1254019293,0.07717041801,0.038585209,0,0.03215434084,0,0.02250803859,0,0.009646302251,0,0,0,0,0.003215434084,0,0,0.08038585209,0
83,0.3501683502,0.07070707071,0.101010101,0.04713804714,0.0202020202,0.02693602694,0.01683501684,0,0.0101010101,0,0,0.0101010101,0,0,0.02356902357,0.006734006734,0.003367003367,0,0.06060606061,0
84,0.329588015,0.04494382022,0.09737827715,0.1423220974,0.05243445693,0.02247191011,0.04868913858,0,0.04494382022,0,0,0.01123595506,0,0.003745318352,0.02247191011,0.02621722846,0.007490636704,0,0,0
85,0.2524271845,0.05501618123,0.1132686084,0.2103559871,0.05177993528,0.009708737864,0.03236245955,0,0.003236245955,0.0355987055,0,0.006472491909,0,0,0.003236245955,0.01294498382,0,0,0,0
86,0.1796875,0.109375,0.109375,0.17578125,0.0703125,0,0.0078125,0.0625,0.01953125,0.09765625,0,0.00390625,0,0.01171875,0.01953125,0.01171875,0.00390625,0,0,0
87,0.3260869565,0.3007246377,0.07971014493,0.05434782609,0.09057971014,0,0.003623188406,0,0,0.02173913043,0,0.01811594203,0,0,0.003623188406,0.003623188406,0,0,0,0
88,0.2638888889,0.08680555556,0.1041666667,0.1145833333,0.01041666667,0.006944444444,0.003472222222,0.003472222222,0,0.08333333333,0,0.003472222222,0,0,0.006944444444,0.003472222222,0,0,0.125,0
89,0.2978056426,0.1536050157,0.09090909091,0.09404388715,0.03761755486,0.01567398119,0.003134796238,0.03134796238,0.01567398119,0.07836990596,0.003134796238,0.0407523511,0,0.0407523511,0.006269592476,0.03761755486,0.02507836991,0,0,0
90,0.3065693431,0.102189781,0.06204379562,0.06934306569,0.05839416058,0.06204379562,0.02554744526,0.08394160584,0.01824817518,0.007299270073,0,0.09124087591,0,0,0.0401459854,0.003649635036,0.003649635036,0,0,0
91,0.2014652015,0.1501831502,0.08791208791,0.09157509158,0.04395604396,0.01098901099,0.01831501832,0.01098901099,0.007326007326,0,0,0.01465201465,0,0.007326007326,0,0.007326007326,0.007326007326,0.1391941392,0.04761904762,0
92,0.2861445783,0.06024096386,0.1265060241,0.0813253012,0.1144578313,0.01506024096,0.0421686747,0.02108433735,0.03012048193,0.003012048193,0,0.02108433735,0,0.003012048193,0.02710843373,0.03614457831,0.01204819277,0,0,0
93,0.2686567164,0.1194029851,0.07089552239,0.08955223881,0.02611940299,0.01119402985,0.003731343284,0.01119402985,0.02611940299,0.01865671642,0.05597014925,0.007462686567,0,0.09701492537,0.01119402985,0.007462686567,0.0223880597,0,0.1268656716,0
94,0.2838283828,0.09570957096,0.300330033,0.05610561056,0.009900990099,0.01650165017,0.04620462046,0.009900990099,0.0396039604,0.01650165017,0,0.04290429043,0,0,0.01320132013,0.009900990099,0.0297029703,0,0,0
95,0.2336956522,0.152173913,0.1014492754,0.1268115942,0.0597826087,0.02173913043,0.05434782609,0.01811594203,0.01630434783,0.005434782609,0,0.005434782609,0,0.007246376812,0.005434782609,0.01268115942,0.01086956522,0,0,0
96,0.3456090652,0.1416430595,0.03966005666,0.01416430595,0.1614730878,0,0.04815864023,0.01983002833,0.05099150142,0.01133144476,0,0.00283286119,0,0.008498583569,0,0,0.008498583569,0,0,0
97,0.2698412698,0.09523809524,0.1904761905,0.1904761905,0.02857142857,0.01587301587,0.01904761905,0.0380952381,0.01904761905,0.0253968254,0,0.006349206349,0,0.04761904762,0.03174603175,0.003174603175,0.0126984127,0,0,0
98,0.2664576803,0.04388714734,0.1536050157,0.1222570533,0.1159874608,0.03134796238,0.03134796238,0.05329153605,0.03448275862,0.003134796238,0.02194357367,0.02821316614,0,0,0.006269592476,0.009404388715,0.02507836991,0,0,0
99,0.310626703,0.136239782,0.07084468665,0.1907356948,0.07629427793,0.005449591281,0.01634877384,0.008174386921,0.008174386921,0.02179836512,0,0.005449591281,0,0.01907356948,0.0136239782,0.00272479564,0.00272479564,0,0,0
100,0.2712550607,0.1214574899,0.1902834008,0.04858299595,0.0971659919,0.02429149798,0.04453441296,0.06072874494,0.03238866397,0.004048582996,0,0.02024291498,0,0,0.004048582996,0.02429149798,0.01619433198,0,0.01619433198,0
101,0.265917603,0.09737827715,0.138576779,0.04494382022,0.05243445693,0,0.01498127341,0.01123595506,0.06741573034,0.06741573034,0,0.02621722846,0,0,0,0.01498127341,0.003745318352,0,0.05243445693,0
102,0.2566037736,0.1358490566,0.1433962264,0.05283018868,0.08301886792,0.01132075472,0.02264150943,0.07924528302,0.007547169811,0.01509433962,0,0.01509433962,0,0,0.003773584906,0.007547169811,0,0,0.03018867925,0
