character,season,episode,percent
Andy,72,5,0.2123076923
Andy,73,5,0.02013422819
Andy,74,5,0.05572755418
Andy,75,5,0.03333333333
Andy,76,5,0.2233676976
Andy,77,5,0.01908396947
Andy,78,5,0.0551558753
Andy,79,5,0.1139240506
Andy,80,5,0
Andy,81,5,0
Andy,82,5,0.038585209
Andy,83,5,0.0202020202
Andy,84,5,0.05243445693
Andy,85,5,0.05177993528
Andy,86,5,0.0703125
Andy,87,5,0.09057971014
Andy,88,5,0.01041666667
Andy,89,5,0.03761755486
Andy,90,5,0.05839416058
Andy,91,5,0.04395604396
Andy,92,6,0.1144578313
Andy,93,6,0.02611940299
Andy,94,6,0.009900990099
Andy,95,6,0.0597826087
Andy,96,6,0.1614730878
Andy,97,6,0.02857142857
Andy,98,6,0.1159874608
Andy,99,6,0.07629427793
Andy,100,6,0.0971659919
Andy,101,6,0.05243445693
Andy,102,6,0.08301886792
Andy,103,6,0.04790419162
Andy,104,6,0.007633587786
Andy,105,6,0.03787878788
Andy,106,6,0.0813559322
Andy,107,6,0.04
Andy,108,6,0.08602150538
Andy,109,6,0.05338078292
Andy,110,6,0.09749303621
Andy,111,6,0.09756097561
Andy,112,6,0.009146341463
Andy,113,6,0.0974025974
Andy,114,6,0.1257668712
Andy,115,6,0.0693877551
Andy,116,7,0.05855855856
Andy,117,7,0.04850746269
Andy,118,7,0.2139737991
Andy,119,7,0.1246105919
Andy,120,7,0.09743589744
Andy,121,7,0.05633802817
Andy,122,7,0.08741258741
Andy,123,7,0.1022727273
Andy,124,7,0.03246753247
Andy,125,7,0.07419354839
Andy,126,7,0.04674457429
Andy,127,7,0.065830721
Andy,128,7,0.1795774648
Andy,129,7,0.04516129032
Andy,130,7,0.1051136364
Andy,131,7,0.02777777778
Andy,132,7,0.09265175719
Andy,133,7,0.05862068966
Andy,134,7,0.04918032787
Andy,135,7,0.01526717557
Andy,136,7,0.07294832827
Andy,137,7,0.03396226415
Andy,138,7,0.1011673152
Andy,139,7,0.05263157895
Andy,140,8,0.1897810219
Andy,141,8,0.2323651452
Andy,142,8,0.1987381703
Andy,143,8,0.2471910112
Andy,144,8,0.1197183099
Andy,145,8,0.1666666667
Andy,146,8,0.1339563863
Andy,147,8,0.2056737589
Andy,148,8,0.1973244147
Andy,149,8,0.2414860681
Andy,150,8,0.1673151751
Andy,151,8,0.1392405063
Andy,152,8,0.126344086
Andy,153,8,0.1551724138
Andy,154,8,0.08979591837
Andy,155,8,0.07142857143
Andy,156,8,0.1133603239
Andy,157,8,0.07575757576
Andy,158,8,0.1264367816
Andy,159,8,0.1563517915
Andy,160,8,0.1815068493
Andy,161,8,0.1715481172
Andy,162,8,0.09608540925
Andy,163,8,0.1661016949
Andy,164,9,0.1473214286
Andy,165,9,0.1114864865
Andy,166,9,0.1021276596
Andy,167,9,0.1352201258
Andy,168,9,0.1712328767
